h,t,n,h_p,i,w,C,W,V,M_y,M_Rd,M_y/M_Rd,V_z,V_Rd,V_z/V_Rd,P_z,N_Rd,P_z/N_Rd,u_z,u_z/u_zul,u_z,u_z/u_zul,f_gs0,f_gs1,f_gs2,fh_0,fh_1,fh_2,BC0,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,BC10
1.61,0.25,6.0,0.93,3.0,1.41,139056.5,312.21,124.89,-6170.61,5311.8,1.162,-1296.64,977.92,1.326,330.76,21061.6,0.016,13.7,0.267,43.8,0.997,1.763,3.778,3.965,4.45,5.908,8.933,1,0,0,0,0,0,0,0,0,0,0
0.49,0.3,2.0,0.65,0.0,2.07,112718.93,253.7,101.48,-6769.33,1518.1,4.459,-1007.56,626.49,1.608,538.68,12213.6,0.044,330.90000000000000,6.302,1056.97,23.486,0.693,0.99,1.42,0.962,1.68,2.469,0,0,0,0,1,0,0,0,1,0,0
2.06,0.12,5.0,0.79,2.0,1.32,80260.01,179.38,71.75,-4362.45,6836.06,0.638,-876.59,1033.32,0.848,203.95,16245.6,0.013,10.2,0.201,28.52,0.655,1.762,4.278,4.328,4.589,5.887,9.252,1,0,0,0,1,0,0,0,0,0,0
1.24,0.28,6.0,0.69,0.0,4.06,148278.82,334.97,133.99,-12298.58,4058.53,3.03,2548.66,911.2,2.797,193.89,13285.6,0.015,67.4,1.208,216.8,4.533,1.644,2.006,3.646,2.204,3.929,7.834,0,0,0,0,1,0,0,0,1,0,0
0.99,0.28,2.0,1.14,0.0,4.5,146235.07,324.28,129.71,-12677.61,3211.72,3.947,-1688.21,847.64,1.992,843.75,29755.6,0.028,116.4,2.067,392.25,8.125,1.191,1.238,3.591,1.636,2.642,4.405,0,0,0,0,1,0,0,0,1,0,0
2.31,0.27,5.0,1.3,1.0,5.54,213283.88,476.22,190.49,-9200.29,7682.87,1.198,-1703.83,1056.49,1.613,418.12,37563.6,0.011,7.2,0.121,17.32,0.34,2.273,4.716,4.899,5.888,6.459,10.371,0,0,0,0,0,0,0,0,1,0,0
1.36,0.19,7.0,0.86,1.0,1.74,104948.76,235.43,94.17,-5334.51,4465.0,1.195,-1035.22,935.71,1.106,145.41,18555.6,0.008,17.4,0.332,48.06,1.068,1.394,3.362,3.711,4.27,4.833,9.948,0,0,0,0,1,0,0,0,0,0,0
1.2,0.15,7.0,1.08,1.0,3.03,89341.46,198.27,79.31,-4709.11,3923.04,1.2,-870.13,902.27,0.964,126.75,27091.6,0.005,20.4,0.367,50.18,1.053,1.231,3.0,3.298,3.927,4.95,8.014,0,0,0,0,0,0,0,0,1,0,0
2.24,0.19,2.0,0.75,1.0,4.33,146290.98,328.5,131.4,-9358.06,7445.76,1.257,1421.69,1050.43,1.353,1223.89,15013.6,0.082,10.9,0.188,37.33,0.753,1.525,2.465,3.514,2.945,4.466,4.769,0,0,0,0,0,0,0,0,1,0,0
0.62,0.26,2.0,1.45,3.0,6.75,132161.63,288.12,115.25,-8836.24,1958.44,4.512,1423.38,702.59,2.026,997.51,45813.6,0.022,531.7000000000000,9.129,1718.28,34.418,0.504,0.8,1.265,0.775,1.638,1.868,0,0,0,0,0,0,0,0,0,0,0
